,Train_total_loss,Train_seq_loss,Val_total_loss,Val_seq_loss
202,0.14296881051248211,0.14296881051248211,0.1411271582495378,0.1411271582495378
203,0.14290112084131681,0.14290112084131681,0.14101508520895387,0.14101508520895387
204,0.14272186110399795,0.14272186110399795,0.14086465285807567,0.14086465285807567
205,0.14253615223313834,0.14253615223313834,0.1406781464064609,0.1406781464064609
206,0.14257181058247995,0.14257181058247995,0.1405465655880985,0.1405465655880985
207,0.14261242417607634,0.14261242417607634,0.14038336391151265,0.14038336391151265
208,0.14222199842204397,0.14222199842204397,0.14026230032646644,0.14026230032646644
209,0.1418737368984908,0.1418737368984908,0.14024417194589614,0.14024417194589614
210,0.1420395214986619,0.1420395214986619,0.14006272583793367,0.14006272583793367
211,0.14166878642835895,0.14166878642835895,0.13989333780277188,0.13989333780277188
212,0.14174914956817447,0.14174914956817447,0.13975037119946473,0.13975037119946473
213,0.1413224425196606,0.1413224425196606,0.13959388558411773,0.13959388558411773
214,0.1412391401866154,0.1412391401866154,0.13951057555292737,0.13951057555292737
215,0.14140443194343133,0.14140443194343133,0.13973860735032642,0.13973860735032642
216,0.1410198770398769,0.1410198770398769,0.13944178667986631,0.13944178667986631
217,0.14116901126161305,0.14116901126161305,0.13923084678016956,0.13923084678016956
218,0.1406021655775599,0.1406021655775599,0.13909758736867095,0.13909758736867095
219,0.1406675424373742,0.1406675424373742,0.13896358085078933,0.13896358085078933
220,0.14063897405949347,0.14063897405949347,0.13882225498572726,0.13882225498572726
221,0.14037402327967916,0.14037402327967916,0.13870980011266026,0.13870980011266026
222,0.1403239012157888,0.1403239012157888,0.13860880329438796,0.13860880329438796
223,0.14001773620239766,0.14001773620239766,0.13851334686231764,0.13851334686231764
224,0.1400426460217171,0.1400426460217171,0.13836267831318025,0.13836267831318025
225,0.13998123337800986,0.13998123337800986,0.13827611957867272,0.13827611957867272
226,0.13992255826756622,0.13992255826756622,0.13814517219256756,0.13814517219256756
227,0.1397583885102191,0.1397583885102191,0.13801704892831984,0.13801704892831984
228,0.13944904707027997,0.13944904707027997,0.13795184254145948,0.13795184254145948
229,0.1392878764679383,0.1392878764679383,0.1377785332649477,0.1377785332649477
230,0.1394917245601026,0.1394917245601026,0.13775154193013062,0.13775154193013062
