,Epoch,Train_total_Loss,Val_total_Loss,Train_CTC_Loss,Train_Murmur_Loss,Val_CTC_Loss,Val_Murmur_Loss
20,21,6.32053465745887,5.792145926265393,5.710042383680012,0.6104922727596938,5.187900425215899,0.6042455808591034
21,22,6.024944031889506,5.52987699508667,5.421310949772678,0.603633104538431,4.931809810056524,0.5980671490653087
22,23,5.766795132611249,5.298295446169578,5.168448098114822,0.5983470681288331,4.706318517458641,0.5919769208310014
23,24,5.524110597335891,5.089621273945954,4.931343440778073,0.5927671540920996,4.503277361595025,0.586343961853092
24,25,5.3085454366382026,4.896613925998494,4.7214705492999105,0.5870748638646482,4.315784863294181,0.5808291122064753
25,26,5.112713867435781,4.722472287840763,4.530582144585224,0.5821316825442727,4.146899936158778,0.57557226338629
26,27,4.928846396863362,4.563231893313133,4.351319920076432,0.5775264936195706,3.9926269886857373,0.5706049670607357
27,28,4.762913469050513,4.416555533974858,4.191231406464869,0.5716820636376846,3.8505932727102508,0.5659622376247988
28,29,4.612112404559767,4.28514516474837,4.044931710917057,0.5671806569856895,3.7236569986505024,0.5614881273043357
29,30,4.470768952198734,4.160718171071198,3.90784367499796,0.5629252910252375,3.6033979771500926,0.5573202313002893
30,31,4.338442410018256,4.04683333736355,3.778177223084582,0.5602651944952122,3.493355885198561,0.5534774887359748
31,32,4.222908164543535,3.9377796383227333,3.6662396905965324,0.5566684923412651,3.3879105842719643,0.5498690821356692
32,33,4.110430787428926,3.8409790022898527,3.5576145091375064,0.5528162548177754,3.2945489859176895,0.5464299567675186
33,34,4.001507654153242,3.751793077436544,3.4518099251992784,0.5496977417757021,3.208469373088772,0.5433237015190772
34,35,3.9095900896433236,3.668589530556889,3.3619806189203025,0.5476094607450788,3.1281977467617748,0.5403917407585402
35,36,3.8237658812075246,3.5884051484576727,3.2800271430859826,0.5437387543952866,3.050780943692741,0.5376241572832657
36,37,3.7408288145880637,3.5159388954356565,3.19882447247471,0.5420043466831529,2.980813245450036,0.5351256693823863
37,38,3.6643400234342343,3.4484282218803792,3.1239473960443025,0.5403926103600335,2.915761394824012,0.5326668565556154
38,39,3.5887252749228966,3.385509193549722,3.0517839897553434,0.5369412800881722,2.8550035896947827,0.5305055532415034
39,40,3.522743810031931,3.3286145283003985,2.987621988831997,0.5351217971673935,2.800360639216536,0.5282538930238303
40,41,3.457270604237232,3.272581310595496,2.925220235039763,0.5320503725179703,2.7462549880399543,0.5263263124530598
41,42,3.4002324971979125,3.222713949720738,2.868444285469034,0.5317882192575399,2.6981479369987875,0.5245660242387804
42,43,3.3445881824104156,3.17376515259177,2.813593275429988,0.5309949054188052,2.6509722289392506,0.5227929444636329
43,44,3.290742848370526,3.13050466876919,2.7632457908844987,0.5274970508121484,2.6093308214413917,0.5211738397509365
44,45,3.244133742027893,3.089250307568049,2.7171978879487786,0.5269358609502511,2.5695604405160677,0.5196898451295949
45,46,3.2022520696268644,3.048572559679969,2.6765380360050486,0.5257140231178534,2.5302663423247256,0.5183062589774697
46,47,3.159959176726849,3.012973150156312,2.634760394519821,0.5251987878288673,2.496006236642094,0.5169669185654592
47,48,3.118789990041641,2.9782649694863013,2.5963576586287256,0.5224323317745543,2.4625033071485616,0.5157616831488528
48,49,3.081160236838373,2.947109683085296,2.558251069187789,0.5229091585438619,2.4325027514312225,0.5146069561020803
49,50,3.0453899929816726,2.9183083437256894,2.524271246220483,0.5211187535994499,2.40478384211912,0.5135244987778744
50,51,3.0146030197469686,2.890229784432104,2.4936130994338064,0.5209899139844839,2.377694644766339,0.5125351343114497
51,52,2.984716050478877,2.864384204250271,2.465046627706937,0.5196694334731599,2.352868215108322,0.5115159967188108
52,53,2.957450397357846,2.8396268941588323,2.4378957035655944,0.5195546916881715,2.328981564408642,0.5106453075247296
53,54,2.9275355652032213,2.817821237596415,2.409665011991405,0.5178705532118161,2.3080833491632493,0.509737931166665
54,55,2.8999687611432083,2.7968537306381482,2.3844452519082786,0.5155235120294112,2.287898167917284,0.508955597574428
55,56,2.8779812482464595,2.775854850219468,2.3609341216626514,0.51704712078115,2.267596927739806,0.5082579472307431
